year,yld_reponse,treatment
0,0,rip_no_input
1,30,rip_no_input
2,15,rip_no_input
3,7.5,rip_no_input
4,3.8,rip_no_input
5,2,rip_no_input
6,1,rip_no_input
7,0.5,rip_no_input
8,0.3,rip_no_input
9,0.1,rip_no_input
10,0.1,rip_no_input
11,0.1,rip_no_input
0,0,rip_shallow_organic
1,40,rip_shallow_organic
2,20,rip_shallow_organic
3,10,rip_shallow_organic
4,5,rip_shallow_organic
5,2.5,rip_shallow_organic
6,1.3,rip_shallow_organic
7,0.6,rip_shallow_organic
8,0.3,rip_shallow_organic
9,0.2,rip_shallow_organic
10,0.1,rip_shallow_organic
11,0,rip_shallow_organic
0,0,rip_shallow_fert
1,50,rip_shallow_fert
2,25,rip_shallow_fert
3,12.5,rip_shallow_fert
4,6.3,rip_shallow_fert
5,3.1,rip_shallow_fert
6,1.6,rip_shallow_fert
7,0.8,rip_shallow_fert
8,0.4,rip_shallow_fert
9,0.2,rip_shallow_fert
10,0.1,rip_shallow_fert
11,0,rip_shallow_fert
0,0,rip_deep_organic
1,45,rip_deep_organic
2,22.5,rip_deep_organic
3,11.3,rip_deep_organic
4,5.6,rip_deep_organic
5,2.8,rip_deep_organic
6,1.4,rip_deep_organic
7,0.7,rip_deep_organic
8,0.4,rip_deep_organic
9,0.2,rip_deep_organic
10,0.1,rip_deep_organic
11,0,rip_deep_organic
0,0,rip_deep_fert
1,55,rip_deep_fert
2,27.5,rip_deep_fert
3,13.8,rip_deep_fert
4,6.9,rip_deep_fert
5,3.4,rip_deep_fert
6,1.7,rip_deep_fert
7,0.9,rip_deep_fert
8,0.4,rip_deep_fert
9,0.2,rip_deep_fert
10,0.1,rip_deep_fert
11,0.1,rip_deep_fert
0,0,wetter
1,30,wetter
2,15,wetter
3,7.5,wetter
4,3.8,wetter
5,2,wetter
6,1,wetter
7,0.5,wetter
8,0.3,wetter
9,0.1,wetter
10,0.1,wetter
11,0.1,wetter
0,0,rip_shallow_input
1,30,rip_shallow_input
2,15,rip_shallow_input
3,7.5,rip_shallow_input
4,3.8,rip_shallow_input
5,2,rip_shallow_input
6,1,rip_shallow_input
7,0.5,rip_shallow_input
8,0.3,rip_shallow_input
9,0.1,rip_shallow_input
10,0.1,rip_shallow_input
11,0.1,rip_shallow_input
0,0,rip_deep_input
1,30,rip_deep_input
2,15,rip_deep_input
3,7.5,rip_deep_input
4,3.8,rip_deep_input
5,2,rip_deep_input
6,1,rip_deep_input
7,0.5,rip_deep_input
8,0.3,rip_deep_input
9,0.1,rip_deep_input
10,0.1,rip_deep_input
11,0.1,rip_deep_input
